               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  95,            0.027506,            0.025107,                   0,             0.90323,             0.85809,              0.9171,             0.68751,            0.025017,            0.018895,                   0,           0.0081388,           0.0081388,           0.0081388
                  96,            0.027562,            0.024588,                   0,             0.90296,             0.86029,             0.91878,             0.69026,            0.024757,            0.018759,                   0,            0.008119,            0.008119,            0.008119
                  97,             0.02754,            0.024583,                   0,             0.90429,             0.85646,              0.9144,             0.69154,            0.024598,            0.018725,                   0,           0.0080992,           0.0080992,           0.0080992
                  98,             0.02743,            0.025007,                   0,             0.91927,             0.84801,             0.91359,             0.69057,            0.024687,            0.018744,                   0,           0.0080794,           0.0080794,           0.0080794
                  99,            0.027738,              0.0247,                   0,             0.92266,             0.85234,             0.91891,             0.69726,            0.024474,            0.018534,                   0,           0.0080596,           0.0080596,           0.0080596
                 100,             0.02759,             0.02493,                   0,             0.91338,             0.85846,             0.91878,             0.69302,            0.024522,            0.018618,                   0,           0.0080398,           0.0080398,           0.0080398
                 101,            0.027285,            0.023979,                   0,             0.90821,             0.86138,             0.91585,             0.69251,            0.024544,            0.018768,                   0,             0.00802,             0.00802,             0.00802
                 102,            0.027006,            0.023902,                   0,             0.90965,             0.85131,             0.91378,             0.69217,            0.024658,            0.018715,                   0,           0.0080002,           0.0080002,           0.0080002
                 103,            0.026767,            0.024178,                   0,             0.91084,             0.86052,             0.91648,             0.69463,            0.024459,            0.018527,                   0,           0.0079804,           0.0079804,           0.0079804
                 104,            0.027043,             0.02383,                   0,             0.90281,             0.85641,             0.91413,              0.6897,            0.024646,            0.018802,                   0,           0.0079606,           0.0079606,           0.0079606
                 105,            0.026787,            0.023822,                   0,             0.90438,             0.85619,             0.91484,              0.6952,             0.02421,            0.018656,                   0,           0.0079408,           0.0079408,           0.0079408
                 106,            0.027085,             0.02422,                   0,             0.90638,             0.85234,             0.91576,             0.69421,             0.02445,            0.018557,                   0,            0.007921,            0.007921,            0.007921
                 107,            0.026776,            0.024082,                   0,             0.91197,             0.85362,              0.9178,             0.69609,            0.024353,            0.018719,                   0,           0.0079012,           0.0079012,           0.0079012
                 108,            0.026737,            0.024458,                   0,             0.91737,             0.85244,             0.91822,             0.69994,            0.024169,            0.018524,                   0,           0.0078814,           0.0078814,           0.0078814
                 109,            0.027185,            0.024192,                   0,             0.91518,             0.86287,             0.91905,              0.6984,            0.024398,             0.01854,                   0,           0.0078616,           0.0078616,           0.0078616
                 110,            0.026514,            0.024062,                   0,              0.9154,             0.86004,             0.91798,             0.69613,             0.02429,            0.018728,                   0,           0.0078418,           0.0078418,           0.0078418
                 111,            0.026888,            0.023972,                   0,             0.91507,             0.85499,             0.91619,             0.69852,            0.024082,            0.018706,                   0,            0.007822,            0.007822,            0.007822
                 112,            0.027022,            0.023799,                   0,             0.91035,             0.85542,             0.91385,             0.69783,            0.024114,            0.018764,                   0,           0.0078022,           0.0078022,           0.0078022
                 113,            0.026655,            0.023696,                   0,             0.91432,             0.86602,             0.91988,             0.70187,            0.023986,            0.018702,                   0,           0.0077824,           0.0077824,           0.0077824
                 114,            0.026711,            0.023611,                   0,             0.91237,              0.8663,             0.92241,             0.70716,            0.023712,            0.018196,                   0,           0.0077626,           0.0077626,           0.0077626
                 115,            0.027128,             0.02402,                   0,             0.92243,             0.85927,             0.92088,             0.70731,            0.023778,            0.018299,                   0,           0.0077428,           0.0077428,           0.0077428
                 116,            0.026614,            0.023588,                   0,             0.92119,             0.86261,              0.9224,             0.70545,            0.023883,            0.018393,                   0,            0.007723,            0.007723,            0.007723
                 117,            0.026465,            0.023702,                   0,             0.92242,               0.861,             0.91932,             0.70845,            0.023866,            0.018485,                   0,           0.0077032,           0.0077032,           0.0077032
