               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.030396,            0.026878,                   0,             0.90765,             0.82283,             0.89548,             0.64409,            0.027701,            0.020446,                   0,           0.0084754,           0.0084754,           0.0084754
                  79,            0.029559,            0.026408,                   0,             0.91313,             0.83385,              0.9031,             0.65038,            0.027305,              0.0202,                   0,           0.0084556,           0.0084556,           0.0084556
                  80,            0.030019,            0.026432,                   0,             0.89935,             0.83205,             0.89871,             0.64763,            0.027577,            0.020268,                   0,           0.0084358,           0.0084358,           0.0084358
                  81,            0.029949,            0.026864,                   0,             0.89549,             0.83744,             0.90009,             0.65248,            0.027472,            0.020171,                   0,            0.008416,            0.008416,            0.008416
                  82,            0.029611,            0.026324,                   0,             0.91001,             0.82584,             0.89768,             0.65175,            0.027437,            0.020265,                   0,           0.0083962,           0.0083962,           0.0083962
                  83,            0.029874,            0.027067,                   0,             0.90631,             0.83513,             0.90227,             0.65706,            0.027246,             0.01975,                   0,           0.0083764,           0.0083764,           0.0083764
                  84,            0.029741,            0.025917,                   0,             0.89705,             0.83641,             0.89424,             0.64889,            0.027456,            0.020343,                   0,           0.0083566,           0.0083566,           0.0083566
                  85,            0.029638,            0.026486,                   0,             0.89951,             0.83676,             0.89801,             0.65432,            0.027187,            0.019913,                   0,           0.0083368,           0.0083368,           0.0083368
                  86,             0.02929,             0.02625,                   0,             0.90104,             0.83179,             0.89858,             0.65894,            0.027055,            0.019686,                   0,            0.008317,            0.008317,            0.008317
                  87,            0.029698,            0.026464,                   0,             0.90326,             0.81793,             0.89851,             0.65485,            0.027041,            0.019956,                   0,           0.0082972,           0.0082972,           0.0082972
                  88,             0.02942,            0.026071,                   0,             0.90502,             0.83462,              0.8986,             0.65486,             0.02712,            0.019815,                   0,           0.0082774,           0.0082774,           0.0082774
                  89,            0.029113,            0.025786,                   0,             0.91569,              0.8187,             0.89679,             0.65353,            0.027061,            0.019927,                   0,           0.0082576,           0.0082576,           0.0082576
                  90,            0.029826,            0.026593,                   0,             0.91369,             0.82918,             0.90031,             0.65967,            0.026821,            0.019912,                   0,           0.0082378,           0.0082378,           0.0082378
                  91,            0.029388,            0.026198,                   0,             0.90491,              0.8285,             0.90043,             0.65974,            0.026703,            0.020013,                   0,            0.008218,            0.008218,            0.008218
                  92,            0.029034,            0.025894,                   0,             0.92231,              0.8323,             0.90608,             0.66283,            0.026635,             0.01947,                   0,           0.0081982,           0.0081982,           0.0081982
                  93,            0.029095,            0.025921,                   0,             0.91075,             0.83847,             0.90622,              0.6633,            0.026665,            0.019498,                   0,           0.0081784,           0.0081784,           0.0081784
                  94,            0.029252,            0.025941,                   0,             0.91763,             0.82964,              0.9034,             0.66015,            0.026844,            0.019529,                   0,           0.0081586,           0.0081586,           0.0081586
                  95,            0.029105,            0.026044,                   0,             0.90918,             0.84155,             0.90442,             0.66597,            0.026636,            0.019658,                   0,           0.0081388,           0.0081388,           0.0081388
                  96,            0.029006,            0.025647,                   0,             0.90384,             0.83796,             0.90369,             0.66412,            0.026696,            0.019645,                   0,            0.008119,            0.008119,            0.008119
                  97,            0.029233,            0.025676,                   0,             0.91041,             0.84104,             0.90647,             0.66439,            0.026616,            0.019412,                   0,           0.0080992,           0.0080992,           0.0080992
                  98,            0.029284,            0.026302,                   0,             0.91193,             0.83898,             0.90618,             0.66318,            0.026481,            0.019582,                   0,           0.0080794,           0.0080794,           0.0080794
                  99,            0.029249,            0.025757,                   0,              0.9149,             0.84202,             0.90485,             0.66777,            0.026517,            0.019441,                   0,           0.0080596,           0.0080596,           0.0080596
                 100,            0.029195,            0.025904,                   0,             0.91398,              0.8377,             0.90455,             0.66722,            0.026507,             0.01944,                   0,           0.0080398,           0.0080398,           0.0080398
                 101,              0.0289,            0.025079,                   0,             0.90771,             0.84617,             0.90623,             0.67011,            0.026489,              0.0193,                   0,             0.00802,             0.00802,             0.00802
                 102,            0.028614,            0.025091,                   0,             0.92822,             0.84052,              0.9057,             0.66822,            0.026243,            0.019252,                   0,           0.0080002,           0.0080002,           0.0080002
                 103,            0.028426,            0.025242,                   0,              0.9134,             0.83667,             0.90354,             0.66701,            0.026171,            0.019514,                   0,           0.0079804,           0.0079804,           0.0079804
                 104,            0.028559,            0.024968,                   0,             0.92758,              0.8377,             0.90814,             0.67046,            0.026072,            0.019301,                   0,           0.0079606,           0.0079606,           0.0079606
                 105,             0.02833,             0.02492,                   0,             0.91981,             0.84489,             0.90795,             0.67052,             0.02619,            0.019178,                   0,           0.0079408,           0.0079408,           0.0079408
                 106,            0.028599,            0.025281,                   0,             0.92255,             0.83796,             0.90529,              0.6708,            0.026279,            0.018993,                   0,            0.007921,            0.007921,            0.007921
                 107,            0.028663,            0.025581,                   0,             0.91841,             0.85234,             0.90818,             0.67664,            0.025888,            0.018955,                   0,           0.0079012,           0.0079012,           0.0079012
